name,type,description,prerequisites,prerequisite_feats,benefit,normal,special,source
Snatch,Monster,This creature can grab other creatures with ease.,Size Huge or larger.,,"The creature can start a grapple when it hits with a claw or bite attack, as though it had the grab ability. If it grapples a creature three or more sizes smaller, it squeezes each round for automatic bite or claw damage with a successful grapple check. A snatched opponent held in the creature's mouth is not allowed a Reflex save against the creature's breath weapon, if it has one. The creature can drop a creature it has snatched as a free action or use a standard action to fling it aside. A f lung creature travels 1d6 X 10 feet, and takes 1d6 points of damage per 10 feet traveled. If the creature flings a snatched opponent while flying, the opponent takes this amount or falling damage, whichever is greater.",,,Bestiary
Wingover,Monster,This creature can make turns with ease while flying.,Fly speed.,,"Once each round, a creature with this feat can turn up to 180 degrees as a free action without making a Fly skill check. This free turn does not consume any additional movement from the creature.",A flying creature can turn up to 90 degrees by making a DC 15 Fly skill check and expending 5 feet of movement. A flying creature can turn up to 180 degrees by making a DC 20 Fly skill check and expending 10 feet of movement.,,Bestiary
Allied Spellcaster,General,"With the aid of an ally, you are skilled at piercing the protections of other creatures with your spells.",Caster level 1st.,,"Whenever you are adjacent to an ally who also has this feat, you receive a +2 competence bonus on level checks made to overcome spell resistance. If your ally has the same spell prepared (or known with a slot available if they are spontaneous spellcasters), this bonus increases to +4 and you receive a +1 bonus to the caster level for all leveldependent variables, such as duration, range, and effect.",,,Advanced Player's Guide
Arcane Blast,General,You can convert any spell into an attack.,"Arcane spellcaster, caster level 10th.",,"As a standard action, you can sacrifice a prepared spell or unused spell slot of 1st level or higher and transform it into a ray, targeting any foe within 30 feet as a ranged touch attack. This attack deals 2d6 points of damage plus an additional 1d6 points of damage for every level of the spell or spell slot you sacrificed. 0-level spells may not be sacrificed in this manner.",,,Advanced Player's Guide
Arcane Shield,General,You can convert any spell into a defense.,"Arcane spellcaster, caster level 10th.",,"As a immediate action, you can sacrifice a prepared spell or unused spell slot of 1st level or higher and gain a def lection bonus to AC equal to the level of the spell or spell slot you sacrificed for 1 round. 0-level spells may not be sacrificed in this manner.",,,Advanced Player's Guide
Arcane Talent,General,"Magic is in your blood, and at your fingertips.","Cha 10; elf, half-elf, or gnome.",,Choose a 0-level spell from the sorcerer/wizard spell list. You can cast this spell three times per day as a spell-like ability. The caster level is equal to your character level. The save DC is 10 + your Charisma modifier.,,,Advanced Player's Guide
Aspect of the Beast,General,"Whether by magic or a curse of your blood, some part of you is more beast than man.","wild shape class feature, see Special.",,"Your bestial nature manifests itself in one of the following ways. You choose the manifestation when you choose the feat, and then you cannot change it. Night Senses (Ex): If your base race has normal vision, you gain low-light vision. If your base race has low-light vision, you gain darkvision out to a range of 30 feet. If your base race has darkvision, the range of your darkvision increases by 30 feet. Claws of the Beast (Ex): You grow a pair of claws. These claws are primary attacks that deal 1d4 points of damage (1d3 if you are Small). Predator's Leap (Ex): You can make a running jump without needing to run 10 feet before you jump. Wild Instinct (Ex): You gain a +2 bonus on initiative checks and a +2 bonus on Survival skill checks.",,A character that has contracted lycanthropy can take this feat without having to meet the prerequisites. A ranger who selects the natural weapon combat style can take this feat without having to meet the prerequisites (even if he does not select Aspect of the Beast as a bonus feat).,Advanced Player's Guide
Bashing Finish,Combat,You follow a powerful blow from your weapon with an opportunistic bash from your shield.,"Improved Shield Bash, Shield Master, Two-Weapon Fighting, base attack bonus +11.","Improved Shield Bash, Shield Master, Two-Weapon Fighting","Whenever you score a critical hit with a melee weapon, you can make a shield bash attack against the same target using the same bonus as a free action.",,,Advanced Player's Guide
Bloody Assault,Combat,"Sacrificing accuracy, you can inflict bloody wounds that are slow to heal.","Str 13, Power Attack, base attack bonus +6.",Power Attack,"You can choose to take a -5 penalty on all melee attack rolls and combat maneuver checks to inflict 1d4 points of bleed damage with your weapon melee attacks, in addition to the normal damage dealt by the weapon. A creature continues to take bleed damage every round at the start of its turn. Bleed damage can be stopped by a DC 15 Heal check or through any magical healing. Bleed damage from this feat does not stack with itself. You must choose to use this feat before making the attack roll, and its effects last until your next turn (although the bleeding lasts until healed, as normal).",,,Advanced Player's Guide
Bodyguard,Combat,Your swift strikes ward off enemies attacking nearby allies.,Combat Reflexes.,Combat Reflexes,"When an adjacent ally is attacked, you may use an attack of opportunity to attempt the aid another action to improve your ally's AC. You may not use the aid another action to improve your ally's attack roll with this attack.",Aid another is a standard action.,,Advanced Player's Guide
Bouncing Spell,Metamagic,You can direct a failed spell against a different target.,,,"Whenever a bouncing spell targeting a single creature has no effect on its intended target (whether due to spell resistance or a successful saving throw) you may, as a swift action, redirect it to target another eligible creature within range. The redirected spell behaves in all ways as if its new target were the original target for the spell. Spells that affect a target in any way (including a lesser effect from a successful saving throw) may not be redirected in this manner. A bouncing spell uses up a spell slot one level higher than the spell's actual level.",,,Advanced Player's Guide
Breadth of Experience,General,"Although still young for your kind, you have a lifetime of knowledge and training.","Dwarf, elf, or gnome; 100+ years old.",,"You get a +2 bonus on all Knowledge and Profession skill checks, and can make checks with those skills untrained.",,,Advanced Player's Guide
Bull Rush Strike,Combat,Your critical hits can push back your foes.,"Str 13, Improved Bull Rush, Power Attack, base attack bonus +9.","Improved Bull Rush, Power Attack","Whenever you score a critical hit with a melee attack, you can push your opponent back, in addition to the normal damage dealt by the attack. If your confirmation roll exceeds your opponent's CMD, you may push your opponent back as if from the bull rush combat maneuver. You do not need to move with the target if successful. This does not provoke an attack of opportunity.",You must perform a bull rush combat maneuver to bull rush an opponent.,"You can only apply the effects of one of the following feats to a given critical hit: Bull Rush Strike, Disarming Strike, Repositioning Strike, Sundering Strike, or Tripping Strike. You may choose to use this feat after you make your confirmation roll.",Advanced Player's Guide
Charge Through,Combat,You can overrun enemies when charging.,"Str 13, Improved Overrun, Power Attack, base attack bonus +1.","Improved Overrun, Power Attack","When making a charge, you can attempt to overrun one creature in the path of the charge as a free action. If you successfully overrun that creature, you can complete the charge. If the overrun is unsuccessful, the charge ends in the space directly in front of that creature.",You must have a clear path toward the target of your charge.,,Advanced Player's Guide
Childlike,General,"Your resemblance to a human child tends to make others trust you, perhaps more than they should.","Cha 13, halfling.",,"You can take 10 on Bluff checks to convince others you are telling the truth, so long as your story makes you appear innocent. You gain a +2 bonus on Disguise skill checks to pose as a human child, and ignore the check penalties for disguising yourself as a different race and age category while doing so.",,,Advanced Player's Guide
Cloud Step,General,Your tread is of unearthly lightness.,"Spider Step, monk level 12th.",Spider Step,"As a move action, you can air walk (as the spell) up to half your slow fall distance, maximum 50 feet. You must reach a solid, level surface by the end of your turn or you will fall.",,,Advanced Player's Guide
Cockatrice Strike,Combat,"With a single strike, you transmute flesh to stone.","Improved Unarmed Strike, Gorgon's Fist, Medusa's Wrath, base attack bonus +14.","Improved Unarmed Strike, Gorgon's Fist, Medusa's Wrath","As a full-round action, you can make a single unarmed strike against a dazed, flat-footed, paralyzed, staggered, stunned, or unconscious foe. If that attack is a critical hit, the target is petrified unless it succeeds on a Fortitude saving throw with a DC of 10 + 1/2 your character level + your Wisdom modifier. This is a supernatural polymorph effect.",,,Advanced Player's Guide
Combat Patrol,Combat,"You range across the battlefield, dealing with threats wherever they arise.","Combat Reflexes, Mobility, base attack bonus +5.","Combat Reflexes, Mobility","As a full-round action, you may set up a combat patrol, increasing your threatened area by 5 feet for every 5 points of your base attack bonus. Until the beginning of your next turn, you may make attacks of opportunity against any opponent in this threatened area that provokes attacks of opportunity. You may move as part of these attacks, provided your total movement before your next turn does not exceed your speed. Any movement you make provokes attacks of opportunity as normal.",,,Advanced Player's Guide
Cooperative Crafting,General,Your assistance makes item crafting far more efficient.,"1 rank in any Craft skill, any item creation feat.",,"You can assist another character in crafting mundane and magical items. You must both possess the relevant Craft skill or item creation feat, but either one of you can fulfill any other prerequisites for crafting the item. You provide a +2 circumstance bonus on any Craft or Spellcraft checks related to making an item, and your assistance doubles the gp value of items that can be crafted each day.",,,Advanced Player's Guide
Coordinated Defense,Combat,"You are adept at working with allies to avoid being tripped, grappled, and subjected to other maneuvers.",,,"Whenever you are adjacent to an ally who also has this feat, you receive a +2 competence bonus to your Combat Maneuver Defense. This bonus increases to +4 if the creature attempting the maneuver is larger than both you and your ally.",,,Advanced Player's Guide
Coordinated Maneuvers,Combat,You are skilled at working with your allies to perform dangerous combat maneuvers.,,,"Whenever you are adjacent to an ally who also has this feat, you receive a +2 competence bonus on all combat maneuver checks. This bonus increases to +4 when attempting to break free from a grapple.",,,Advanced Player's Guide
Cosmopolitan,General,"Living in large, exotic cities has put you in touch with many diverse civilizations, cultures, and races.",,,"You can speak and read two additional languages of your choice. In addition, choose two Intelligence-, Wisdom-, or Charisma-based skills. Those skills always count as class skills for you.",,,Advanced Player's Guide
Covering Defense,Combat,You are skilled at protecting yourself and your allies with your shield.,"Shield Focus, base attack bonus +6.",Shield Focus,"When you use the total defense action while using a light, heavy, or tower shield, you can provide a cover bonus to AC against all attacks to an adjacent ally your size or smaller. This cover bonus is equal to your shield's shield bonus and lasts until the beginning of your next turn. Your shield does not provide a cover bonus to Ref lex saves.",,,Advanced Player's Guide
Crippling Critical,Combat,You are able to maim a target and hinder its movement.,"Critical Focus, base attack bonus +13.",Critical Focus,"Whenever you score a critical hit against an opponent, its speed is halved for 1 minute. A successful Fortitude save reduces this duration to 1d4 rounds. The DC of this save is equal to 10 + your base attack bonus. Against creatures with multiple types of movement, you must choose which movement type to affect. A flying creature hit by this attack must make a DC 10 Fly check to remain airborne, and has its maneuverability reduced by one step.",,You can only apply the effects of one critical feat to a given critical hit unless you possess Critical Mastery.,Advanced Player's Guide
Crossbow Mastery,Combat,You can load crossbows with blinding speed and even fire them in melee with little fear of reprisal.,"Dex 15, Point-Blank Shot, Rapid Reload, Rapid Shot.","Point-Blank Shot, Rapid Reload, Rapid Shot","The time required for you to reload any type of crossbow is reduced to a free action, regardless of the type of crossbow used. You can fire a crossbow as many times in a full attack action as you could attack if you were using a bow. Reloading a crossbow for the type of crossbow you chose when you took Rapid Reload no longer provokes attacks of opportunity.",,"Starting at 6th level, a ranger with the archery combat style may select Crossbow Mastery as a combat style feat.",Advanced Player's Guide
Dastardly Finish,Combat,You can take advantage of an enemy's debilitated state to attempt a coup de grace.,Sneak attack +5d6.,,You can deliver a coup de grace to cowering or stunned targets.,You can only coup de grace helpless targets.,,Advanced Player's Guide
Dazing Assault,Combat,You can daze foes with wild attacks.,"Str 13, Power Attack, base attack bonus +11.",Power Attack,"You can choose to take a -5 penalty on all melee attack rolls and combat maneuver checks to daze opponents you hit with your melee attacks for 1 round, in addition to the normal damage dealt by the attack. A successful Fortitude save negates the effect. The DC of this save is 10 + your base attack bonus. You must choose to use this feat before making the attack roll, and its effects last until your next turn.",,,Advanced Player's Guide
Dazing Spell,Metamagic,You can daze creatures with the power of your spells.,,,"You can modify a spell to daze a creature damaged by the spell. When a creature takes damage from this spell, they become dazed for a number of rounds equal to the original level of the spell. If the spell allows a saving throw, a successful save negates the daze effect. If the spell does not allow a save, the target can make a Will save to negate the daze effect. If the spell effect also causes the creature to become dazed, the duration of this metamagic effect is added to the duration of the spell. A dazing spell uses up a spell slot three levels higher than the spell's actual level. Spells that do not inf lict damage do not benefit from this feat.",,,Advanced Player's Guide
Deep Drinker,General,You draw greater amounts of ki from your libations.,"Con 13, monk level 11, drunken ki class feature.",,"When you gain temporary ki from drunken ki, you gain 2 temporary ki rather than just 1.",,,Advanced Player's Guide
Deepsight,General,Your senses are especially keen in the utter darkness.,Darkvision 60 feet.,,Your darkvision has a range of 120 feet.,Darkvision normally extends 60 or 90 feet.,,Advanced Player's Guide
Disarming Strike,Combat,Your critical hits can disarm your foes.,"Int 13, Combat Expertise, Improved Disarm, base attack bonus +9.","Combat Expertise, Improved Disarm","Whenever you score a critical hit with a melee attack, you can disarm your opponent, in addition to the normal damage dealt by the attack. If your confirmation roll exceeds your opponent's CMD, you may disarm your opponent as if from the disarm combat maneuver. This does not provoke an attack of opportunity.",You must perform a disarm combat maneuver to disarm an opponent.,"You can only apply the effects of one of the following feats to a given critical hit: Bull Rush Strike, Disarming Strike, Repositioning Strike, Sundering Strike, or Tripping Strike. You may choose to use this feat after you make your confirmation roll.",Advanced Player's Guide
Disrupting Shot,Combat,"With a well-placed shot, you make it harder for a nearby opponent to cast spells.","Dex 13, Point-Blank Shot, fighter level 6th.",Point-Blank Shot,"If you ready an action to shoot an opponent casting a spell within 30 feet and successfully hit that opponent with a ranged attack, the concentration DC to successfully cast the spell is increased by +4.",,,Advanced Player's Guide
Disruptive Spell,Metamagic,"Your magical energies cling to enemies, interfering with their spellcasting.",,,Targets affected by a disruptive spell must make concentration checks when using spells or spell-like abilities (DC equals the save DC of the disruptive spell plus the level of the spell being cast) for 1 round. Targets that avoid the spell's effects avoid this feat's effect as well. A disruptive spell uses up a spell slot one level higher than the spell's actual level.,,,Advanced Player's Guide
Diviner's Delving,General,"Your keen magical intuition makes reading signs, portents, and mystical clues quick and easy.",Spell Focus (divination).,Spell Focus,"You gain a +2 bonus on caster level checks with divinations to overcome spell resistance or effects that impede divination (for example, nondetection). When using a divination spell that requires concentration, you gain information from the spell 1 round sooner than normal (so you gain information from the first 2 rounds with 1 round of concentration, and information from the third round in the second round of concentration).",,,Advanced Player's Guide
Dreadful Carnage,Combat,Slaying an enemy demoralizes your other nearby foes.,"Str 15, Power Attack, Furious Focus, base attack bonus +11.","Power Attack, Furious Focus","Whenever you reduce an enemy to 0 or fewer hit points, you can make an Intimidate check to demoralize all enemies within 30 feet as a free action. Enemies that cannot see both you and the enemy you reduced to 0 or fewer hit points are unaffected.",,,Advanced Player's Guide
Duck and Cover,General,Your allies assist you in avoiding certain attacks.,,,"Whenever you are adjacent to an ally who also has this feat, and both of you are required to make a Ref lex saving throw against a spell or effect, you may take the result of your die roll or that of your ally (your modifiers still apply to the roll, regardless of which result you take). If you take your ally's result, you are knocked prone (or staggered on your next turn, if you are already prone or cannot be knocked prone). In addition, you receive a +2 cover bonus to your AC against ranged attacks as long as your ally is wielding a shield.",,,Advanced Player's Guide
Eagle Eyes,General,Your vision is especially keen.,"Wis 13, keen senses racial trait.",,"You ignore up to -5 in penalties due to distance on visual Perception checks, allowing you to see accurately at much greater distances than most.",,,Advanced Player's Guide
Eclectic,General,You have a talent for picking up different vocations.,Human.,,"Choose an additional favored class and gain either +1 hit point or +1 skill point whenever you take a level in that class. If you choose a class in which you already have levels, the benefits of this feat are retroactive.",,,Advanced Player's Guide
Ectoplasmic Spell,Metamagic,"Your spells breach the gulf between dimensions, sending ghostly emanations into the ether.",,,An ectoplasmic spell has full effect against incorporeal or ethereal creatures. An ectoplasmic spell uses up a spell slot one level higher than the spell's actual level.,,,Advanced Player's Guide
Eldritch Claws,Combat,Who needs magic weapons? Eldritch tricks are no match for your bestial ferocity.,"Str 15, natural weapons, base attack bonus +6.",,You natural weapons are considered both magic and silver for purpose of overcoming damage reduction.,,,Advanced Player's Guide
Elemental Fist,Combat,You empower your strike with elemental energy,"Con 13, Wis 13, Improved Unarmed Strike, base attack bonus +8.",Improved Unarmed Strike,"When you use Elemental Strike pick one of the following energy types: acid, cold, electricity, or fire. On a successful hit, the attack deals damage normally plus 1d6 points of damage of the chosen type. You must declare that you are using this feat before you make your attack roll (thus a failed attack roll ruins the attempt). You may attempt an elemental fist attack once per day for every four levels you have attained (see Special), and no more than once per round.",,"A monk of the four winds receives Elemental Fist as a bonus feat at 1st level, even if he does not meet the prerequisites. A monk may attempt an Elemental Fist attack a number of times per day equal to his monk level, plus one more time per day for every four levels he has in classes other than monk.",Advanced Player's Guide
Elemental Focus,General,Your spells of a certain element are more difficult to resist.,,,"Choose one energy type (acid, cold, electricity, or fire). Add +1 to the Difficulty Class for all saving throws against spells that deal damage of the energy type you select.",,"You can gain this feat multiple times. Its effects do not stack. Each time you take this feat, it applies to a new energy type.",Advanced Player's Guide
Elemental Spell,Metamagic,You can manipulate the elemental nature of your spells.,,,"Choose one energy type: acid, cold, electricity, or fire. You may replace a spell's normal damage with that energy type or split the spell's damage, so that half is of that energy type and half is of its normal type. An elemental spell uses up a spell slot one level higher than the spell's actual level.",,You can gain this feat multiple times. Each time you must choose a different energy type.,Advanced Player's Guide
Elven Accuracy,Combat,Your sharp eyesight makes difficult shots easier.,Elf.,,"If you miss due to concealment when making a ranged attack with a longbow or shortbow (including composite bows), you can reroll your miss chance roll one time to see if you actually hit.",,,Advanced Player's Guide
Enforcer,Combat,You are skilled at causing fear in those you brutalize.,Intimidate 1 rank.,,"Whenever you deal nonlethal damage with a melee weapon, you can make an Intimidate check to demoralize your target as a free action. If you are successful, the target is shaken for a number of rounds equal to the damage dealt. If your attack was a critical hit, your target is frightened for 1 round with a successful Intimidate check, as well as being shaken for a number of rounds equal to the damage dealt.",,,Advanced Player's Guide
Expanded Arcana,General,Your research has revealed new spells.,"Caster level 1st, see Special.",,"Add one spell from your class's spell list to your list of spells known. This is in addition to the number of spells normally gained at each new level in your class. You may instead add two spells from your class's spell list to your list of spells known, but both of these spells must be at least one level lower than the highest level spell you can cast in that class. Once made, these choices cannot be changed.",,"You can only take this feat if you possess levels in a class whose spellcasting relies on a limited list of spells known, such as the bard, oracle, and sorcerer. You can gain Expanded Arcana multiple times.",Advanced Player's Guide
Extra Bombs,General,You can throw more bombs per day.,Bomb class feature.,,You can throw two additional bombs per day.,,You can gain Extra Bombs multiple times. Its effects stack.,Advanced Player's Guide
Extra Discovery,General,You have made a new alchemical discovery.,Discovery class feature.,,You gain one additional discovery. You must meet all of the prerequisites for this discovery.,,You can gain Extra Discovery multiple times.,Advanced Player's Guide
Extra Hex,General,You have learned the secrets of a new hex.,Hex class feature.,,You gain one additional hex. You must meet all of the prerequisites for this hex.,,You can gain Extra Hex multiple times.,Advanced Player's Guide
Extra Rage Power,General,You have unlocked a new ability to use while raging.,Rage power class feature.,,You gain one additional rage power. You must meet all of the prerequisites for this rage power.,,You can gain Extra Rage Power multiple times.,Advanced Player's Guide
Extra Revelation,General,You have discovered a new aspect of your mystery.,Revelation class feature.,,You gain one additional revelation. You must meet all of the prerequisites for this revelation.,,You can gain Extra Revelation multiple times.,Advanced Player's Guide
Extra Rogue Talent,General,"Through constant practice, you have learned how to perform a special trick.",Rogue talent class feature.,,You gain one additional rogue talent. You must meet all of the prerequisites for this rogue talent.,,You can gain Extra Rogue Talent multiple times.,Advanced Player's Guide
Fast Drinker,General,You swiftly guzzle spirits to draw forth ki.,"Con 18, drunken ki class feature.",,"Drinking strong alcohol to gain temporary ki, takes a swift action rather than a standard action.",,,Advanced Player's Guide
Fast Healer,General,"You benefit greatly from your healing, be it from spells or natural healing.","Con 13, Diehard, Endurance.","Diehard, Endurance","When you regain hit points by resting or through magical healing, you recover additional hit points equal to half your Constitution modifier (minimum +1).",,,Advanced Player's Guide
Favored Defense,General,Your cunning is your shield against your quarry's attacks.,Favored enemy class feature.,,Choose one of your favored enemy types. You add half your favored enemy bonus to your CMD and as a dodge bonus to AC when attacked by a favored enemy.,,"You can gain this feat multiple times. Its effects do not stack. Each time you take this feat, it applies to a new favored enemy type.",Advanced Player's Guide
Fight On,General,You can keep fighting even after you should be dead.,"Con 13; dwarf, half-orc, or orc.",,"Once per day, you can gain a number of temporary hit points equal to your Constitution modifier. You can activate this feat as an immediate action when reduced to 0 or fewer hit points. You can use this feat to prevent yourself from dying. These temporary hit points last for 1 minute. If your hit points drop below 0 due to the loss of these temporary hit points, you fall unconscious and are dying as normal. If you also have the ferocity racial trait, you can use that once you have lost the temporary hit points from this feat.",,,Advanced Player's Guide
Focused Shot,Combat,Your anatomical insight adds deadliness to your shots.,"Int 13, Point Blank Shot, Precise Shot.","Point Blank Shot, Precise Shot","As a standard action, you may make an attack with a bow or crossbow and add your Intelligence modifier on the damage roll. You must be within 30 feet of your target to deal this extra damage. Creatures immune to critical hits and sneak attacks are immune to this extra damage.",,"Starting at 2nd level, a ranger with the archery combat style may select Focused Shot as a combat style feat.",Advanced Player's Guide
Focused Spell,Metamagic,"When you cast a spell that affects more than one creature, one opponent finds it more difficult to resist.",,,"When casting a spell that affects or targets more than one creature, you can choose one target or creature within the spell effect. That creature's saving throw DC to resist the spell is increased by +2. You must choose which target to focus the spell on before casting the spell. A focused spell uses up a spell slot one level higher than the spell's actual level. Spells that do not require a saving throw to resist or lessen the spell's effect do not benefit from this feat.",,,Advanced Player's Guide
Following Step,Combat,"You can repeatedly close the distance when foes try to move away, without impeding your normal movement.","Dex 13, Step Up.",Step Up,"When using the Step Up feat to follow an adjacent foe, you may move up to 10 feet. You may still take a 5-foot step during your next turn, and any movement you make using this feat does not subtract any distance from your movement during your next turn.",You can only take a 5-foot step to follow an opponent using Step Up.,,Advanced Player's Guide
Furious Focus,Combat,"Even in the midst of fierce and furious blows, you can find focus in the carnage and your seemingly wild blows strike home.","Str 13, Power Attack, base attack bonus +1.",Power Attack,"When you are wielding a two-handed weapon or a one-handed weapon with two hands, and using the Power Attack feat, you do not suffer Power Attack's penalty on melee attack rolls on the first attack you make each turn. You still suffer the penalty on any additional attacks, including attacks of opportunity.",,,Advanced Player's Guide
Gang Up,Combat,You are adept at using greater numbers against foes.,"Int 13, Combat Expertise.",Combat Expertise,"You are considered to be flanking an opponent if at least two of your allies are threatening that opponent, regardless of your actual positioning.",You must be positioned opposite an ally to f lank an opponent.,,Advanced Player's Guide
Gnome Trickster,General,Your arcane talents go beyond the illusory.,"Cha 13, gnome, gnome magic racial trait.",,"In addition to your normal gnome spell-like abilities, you also gain the following spell-like abilities: 1/day-mage hand and prestidigitation.",,,Advanced Player's Guide
Go Unnoticed,General,Your small size lets you quickly duck out of sight.,"Dex 13, Small size or smaller.",,"During the first round of combat, flat-footed opponents are considered not to have noticed you yet for the purposes of Stealth skill checks, allowing you to make a Stealth check that round to hide from them.",,,Advanced Player's Guide
Greater Blind-Fight,Combat,Your enemies cannot hide from you.,"Perception 15 ranks, Improved Blind-Fight.",Improved Blind-Fight,"Your melee attacks ignore the miss chance for less than total concealment, and you treat opponents with total concealment as if they had normal concealment (20% miss chance instead of 50%). You may still reroll a miss chance percentile roll as normal. If you successfully pinpoint an invisible or hidden attacker, that attacker gets no advantages related to hitting you with ranged attacks, regardless of the range. That is, you don't lose your Dexterity bonus to Armor Class, and the attacker doesn't get the usual +2 bonus for being invisible.",,The Greater Blind-Fight feat is of no use against a character who is the subject of a blink spell.,Advanced Player's Guide
Greater Dirty Trick,Combat,"When you pull a dirty trick, your foe is truly hindered.","Int 13, Combat Expertise, Improved Dirty Trick, base attack bonus +6.","Combat Expertise, Improved Dirty Trick","You receive a +2 bonus on checks made to attempt a dirty trick. This bonus stacks with the bonus granted by Improved Dirty Trick. Whenever you successfully perform a dirty trick, the penalty lasts for 1d4 rounds, plus 1 round for every 5 by which your attack exceeds the target's CMD. In addition, removing the condition requires the target to spend a standard action.",The condition imposed by a dirty trick lasts for 1 round plus 1 round for every 5 by which your attack exceeds the target's CMD. Removing the condition requires the target to spend a move action.,,Advanced Player's Guide
Greater Drag,Combat,Foes that you drag are thrown out of balance.,"Str 13, Improved Drag, Power Attack, base attack bonus +6.","Improved Drag, Power Attack","You receive a +2 bonus on checks made to drag a foe. This bonus stacks with the bonus granted by Improved Drag. Whenever you drag a foe, his movement provokes attacks of opportunity from all of your allies (but not you).",Creatures moved by drag do not provoke attacks of opportunity.,,Advanced Player's Guide
Greater Elemental Focus,General,Choose an energy type to which you have already applied the Elemental Focus feat. Any spells you cast of this energy type are very hard to resist.,Elemental Focus.,Elemental Focus,Add +1 to the Difficulty Class for all saving throws against spells that deal damage of the energy type you select. This bonus stacks with the bonus from Elemental Focus.,,"You can gain this feat multiple times. Its effects do not stack. Each time you take this feat, it applies to a new energy type to which you have already applied the Elemental Focus feat.",Advanced Player's Guide
Greater Reposition,Combat,"When you reposition foes, they are left vulnerable to the attacks of your allies.","Int 13, Combat Expertise, Improved Reposition, base attack bonus +6.","Combat Expertise, Improved Reposition","You receive a +2 bonus on checks made to reposition a foe. This bonus stacks with the bonus granted by Improved Reposition. Whenever you reposition a foe, his movement provokes attacks of opportunity from all of your allies (but not you).",Creatures moved by reposition do not provoke attacks of opportunity.,,Advanced Player's Guide
Greater Shield Specialization,Combat,Your masterful shieldwork provides even greater protection to your vital areas.,"Proficiency with selected shield, Greater Shield Focus, Shield Focus, Shield Specialization with selected shield, fighter level 12th.","Greater Shield Focus, Shield Focus, Shield Specialization","Choose one type of shield (buckler, light, heavy, or tower shield) for which you possess the Shield Specialization feat. With the selected shield, you gain a +2 bonus to your Armor Class against critical hit confirmation rolls (this bonus stacks with that from Shield Specialization). In addition, once per day you may negate a critical hit, and damage is instead rolled normally.",,"You can gain this feat multiple times. Its effects do not stack. Each time you take the feat, it applies to a new type of shield.",Advanced Player's Guide
Greater Steal,Combat,You have a knack for snatching items from your opponents in combat.,"Int 13, Combat Expertise, Improved Steal, base attack bonus +6.","Combat Expertise, Improved Steal","You receive a +2 bonus on checks made to steal an item from a foe. This bonus stacks with the bonus granted by Improved Steal. If you successfully steal an item from a foe during combat, it does not notice the theft until after combat is over or if it attempts to use the missing item.",Creatures automatically notice items taken from them through the steal combat maneuver.,,Advanced Player's Guide
Groundling,General,You can speak with burrowing animals.,"Cha 13, gnome, gnome magic racial trait.",,"You can use speak with animals as a spell-like ability at will, but only to communicate with burrowing animals like gophers, moles, and the like. You can still use your gnome speak with animals ability once per day to speak with any animal, as usual.",,,Advanced Player's Guide
Heroic Defiance,General,You struggle on when others would fall.,"Diehard, Endurance, base Fortitude save +8.","Diehard, Endurance","Once per day as an immediate action you can delay the onset of one harmful condition or aff liction (such as panicked, paralyzed, stunned, and so on), including permanent and instantaneous conditions. Activating this feat delays the onset of the condition until the end of your next turn, after which time the condition takes its normal effect. This feat has no effect on hit point damage or ability damage.",,,Advanced Player's Guide
Heroic Recovery,General,You can throw off the effects of crippling conditions.,"Diehard, Endurance, base Fortitude save +4.","Diehard, Endurance","Once per day as a standard action you may attempt a new saving throw against a harmful condition or aff liction requiring a Fortitude save that is affecting you. If this save against the aff liction fails, there is no additional effect, but a successful save counts toward curing an aff liction such as poison or disease. You cannot use this feat to recover from instantaneous effects, effects that do not allow a saving throw, or effects that do not require a Fortitude save.",,,Advanced Player's Guide
Improved Blind-Fight,Combat,Your keen senses guide your hand against hidden foes.,"Perception 10 ranks, Blind-Fight.",Blind-Fight,"Your melee attacks ignore the miss chance for less than total concealment. You may still reroll your miss chance percentile roll for total concealment. If you successfully pinpoint an invisible or hidden attacker within 30 feet, that attacker gets no advantages related to hitting you with ranged attacks. That is, you don't lose your Dexterity bonus to Armor Class, and the attacker doesn't get the usual +2 bonus for being invisible.",,The Improved Blind-Fight feat is of no use against a character who is the subject of a blink spell.,Advanced Player's Guide
Improved Dirty Trick,Combat,You are skilled at pulling dirty tricks on your foes.,"Int 13, Combat Expertise.",Combat Expertise,"You do not provoke an attack of opportunity when performing a dirty trick combat maneuver. In addition, you receive a +2 bonus on checks made to attempt a dirty trick. You also receive a +2 bonus to your Combat Maneuver Defense when an opponent tries a dirty trick on you.",You provoke an attack of opportunity when performing a dirty trick combat maneuver.,,Advanced Player's Guide
Improved Drag,Combat,You are skilled at dragging foes around the battlefield.,"Str 13, Power Attack, base attack bonus +1.",Power Attack,"You do not provoke an attack of opportunity when performing a drag combat maneuver. In addition, you receive a +2 bonus on checks made to drag a foe. You also receive a +2 bonus to your Combat Maneuver Defense when an opponent tries to drag you.",You provoke an attack of opportunity when performing a drag combat maneuver.,,Advanced Player's Guide
